run,sim_minute,hour_of_day,zone_temp_c,outdoor_temp_c,occupancy_fraction,pmv,cooling_setpoint,heating_setpoint,fan_flow_fraction,instantaneous_kw,cumulative_kwh
baseline,885,14.75,24.03,33.51,1.0,0.49,23.0,21.0,1.0,4.367,38.378
baseline,900,15.0,24.01,33.24,1.0,0.48,23.0,21.0,1.0,4.362,39.469
baseline,915,15.25,24.01,32.96,1.0,0.48,23.0,21.0,1.0,4.276,40.538
baseline,930,15.5,23.96,32.65,1.0,0.47,23.0,21.0,1.0,4.274,41.606
baseline,945,15.75,23.96,32.33,1.0,0.47,23.0,21.0,1.0,4.105,42.632
baseline,960,16.0,23.93,32.0,1.0,0.46,23.0,21.0,1.0,4.095,43.656
baseline,975,16.25,23.91,31.65,1.0,0.45,23.0,21.0,1.0,4.016,44.66
baseline,990,16.5,23.88,31.3,1.0,0.44,23.0,21.0,1.0,3.937,45.644
baseline,1005,16.75,23.88,30.93,1.0,0.44,23.0,21.0,1.0,3.833,46.603
baseline,1020,17.0,23.87,30.55,1.0,0.44,23.0,21.0,1.0,3.828,47.56
baseline,1035,17.25,23.82,30.17,1.0,0.42,23.0,21.0,1.0,3.784,48.506
baseline,1050,17.5,23.8,29.78,1.0,0.42,23.0,21.0,1.0,3.609,49.408
baseline,1065,17.75,23.74,29.39,1.0,0.4,23.0,21.0,1.0,3.545,50.294
baseline,1080,18.0,23.74,29.0,0.05,0.4,23.0,21.0,1.0,3.335,51.128
baseline,1095,18.25,24.03,28.61,0.05,0.49,26.0,16.0,1.0,0.75,51.315
baseline,1110,18.5,24.31,28.22,0.05,0.58,26.0,16.0,1.0,0.75,51.503
baseline,1125,18.75,24.54,27.83,0.05,0.65,26.0,16.0,1.0,0.75,51.69
baseline,1140,19.0,24.7,27.45,0.05,0.7,26.0,16.0,1.0,0.75,51.878
baseline,1155,19.25,24.85,27.07,0.05,0.75,26.0,16.0,1.0,0.75,52.065
baseline,1170,19.5,24.98,26.7,0.05,0.79,26.0,16.0,1.0,0.75,52.253
baseline,1185,19.75,25.05,26.35,0.05,0.82,26.0,16.0,1.0,0.75,52.44
baseline,1200,20.0,25.13,26.0,0.05,0.84,26.0,16.0,1.0,0.75,52.628
baseline,1215,20.25,25.17,25.67,0.05,0.85,26.0,16.0,1.0,0.75,52.815
baseline,1230,20.5,25.18,25.35,0.05,0.86,26.0,16.0,1.0,0.75,53.003
baseline,1245,20.75,25.18,25.04,0.05,0.86,26.0,16.0,1.0,0.75,53.19
baseline,1260,21.0,25.2,24.76,0.05,0.86,26.0,16.0,1.0,0.75,53.378
baseline,1275,21.25,25.17,24.49,0.05,0.85,26.0,16.0,1.0,0.75,53.565
baseline,1290,21.5,25.13,24.24,0.05,0.84,26.0,16.0,1.0,0.75,53.753
baseline,1305,21.75,25.09,24.01,0.05,0.83,26.0,16.0,1.0,0.75,53.94
baseline,1320,22.0,25.07,23.8,0.05,0.82,26.0,16.0,1.0,0.75,54.128
baseline,1335,22.25,24.99,23.62,0.05,0.8,26.0,16.0,1.0,0.75,54.315
baseline,1350,22.5,24.93,23.46,0.05,0.78,26.0,16.0,1.0,0.75,54.503
baseline,1365,22.75,24.87,23.32,0.05,0.76,26.0,16.0,1.0,0.75,54.69
baseline,1380,23.0,24.83,23.2,0.05,0.75,26.0,16.0,1.0,0.75,54.878
baseline,1395,23.25,24.78,23.12,0.05,0.73,26.0,16.0,1.0,0.75,55.065
baseline,1410,23.5,24.73,23.05,0.05,0.71,26.0,16.0,1.0,0.75,55.253
baseline,1425,23.75,24.65,23.01,0.05,0.69,26.0,16.0,1.0,0.75,55.44
baseline,1440,0.0,24.57,23.0,0.05,0.66,26.0,16.0,1.0,0.75,55.628
ai_driven,15,0.25,22.05,23.01,0.05,-0.14,27.5,16.5,0.3,0.02,0.005
ai_driven,30,0.5,22.09,23.05,0.05,-0.13,27.5,16.5,0.3,0.02,0.01
ai_driven,45,0.75,22.16,23.12,0.05,-0.11,27.5,16.5,0.3,0.02,0.015
ai_driven,60,1.0,22.2,23.2,0.05,-0.1,27.5,16.5,0.3,0.02,0.02
ai_driven,75,1.25,22.26,23.32,0.05,-0.08,27.5,16.5,0.3,0.02,0.025
ai_driven,90,1.5,22.32,23.46,0.05,-0.06,27.5,16.5,0.3,0.02,0.03
ai_driven,105,1.75,22.37,23.62,0.05,-0.04,27.5,16.5,0.3,0.02,0.035
ai_driven,120,2.0,22.44,23.8,0.05,-0.02,27.5,16.5,0.3,0.02,0.04
ai_driven,135,2.25,22.5,24.01,0.05,-0.0,27.5,16.5,0.3,0.02,0.046
ai_driven,150,2.5,22.58,24.24,0.05,0.03,27.5,16.5,0.3,0.02,0.051
ai_driven,165,2.75,22.65,24.49,0.05,0.05,27.5,16.5,0.3,0.02,0.056
ai_driven,180,3.0,22.73,24.76,0.05,0.07,27.5,16.5,0.3,0.02,0.061
ai_driven,195,3.25,22.84,25.04,0.05,0.11,27.5,16.5,0.3,0.02,0.066
ai_driven,210,3.5,22.99,25.35,0.05,0.16,27.5,16.5,0.3,0.02,0.071
ai_driven,225,3.75,23.1,25.67,0.05,0.19,27.5,16.5,0.3,0.02,0.076
ai_driven,240,4.0,23.22,26.0,0.05,0.23,27.5,16.5,0.3,0.02,0.081
ai_driven,255,4.25,23.38,26.35,0.05,0.28,27.5,16.5,0.3,0.02,0.086
ai_driven,270,4.5,23.57,26.7,0.05,0.34,27.5,16.5,0.3,0.02,0.091
ai_driven,285,4.75,23.75,27.07,0.05,0.4,27.5,16.5,0.3,0.02,0.096
ai_driven,300,5.0,23.92,27.45,0.05,0.46,27.5,16.5,0.3,0.02,0.101
ai_driven,315,5.25,24.14,27.83,0.05,0.53,27.5,16.5,0.3,0.02,0.106
ai_driven,330,5.5,24.32,28.22,0.05,0.58,27.5,16.5,0.3,0.02,0.111
ai_driven,345,5.75,24.55,28.61,0.05,0.66,27.5,16.5,0.3,0.02,0.116
ai_driven,360,6.0,24.75,29.0,0.05,0.72,27.5,16.5,0.3,0.02,0.121
